"user","time"
"1105","1483264859"
"1105","1483264859"
"1105","1483264859"
"38575","1483273216"
"38617","1483279363"
"38689","1483287502"
"38617","1483295044"
"38617","1483298946"
"975","1483305439"
"38659","1483351253"
"38769","1483360947"
"38846","1483364988"
"38846","1483366358"
"514","1483375137"
"38551","1483377705"
"969","1483378290"
"38577","1483379464"
"740","1483379970"
"1061","1483400019"
"665","1483404395"
"576","1483409186"
"38584","1483452523"
"38584","1483452532"
"38702","1483454271"
"38722","1483454375"
"38722","1483454406"
"38722","1483456653"
"38722","1483456776"
"38709","1483457176"
"38722","1483457859"
"38655","1483459274"
"38762","1483460915"
"38540","1483461269"
"38540","1483461369"
"38540","1483461399"
"38718","1483462851"
"611","1483463764"
"611","1483464008"
"611","1483464212"
"38798","1483464572"
"38714","1483465547"
"38655","1483465603"
"38512","1483465673"
"38577","1483466092"
"38577","1483466101"
"38731","1483466569"
"38546","1483466827"
"38637","1483466869"
"970","1483468434"
"38512","1483468541"
"38690","1483468728"
"38720","1483469088"
"38637","1483470549"
"38737","1483471932"
"38850","1483473441"
"38850","1483473520"
"647","1483474341"
"1057","1483474898"
"38655","1483475017"
"38655","1483475097"
"38655","1483476163"
"38655","1483476497"
"38729","1483478568"
"38729","1483481516"
"38765","1483482159"
"554","1483485599"
"38769","1483487697"
"730","1483492596"
"1064","1483493661"
"732","1483497780"
"558","1483507556"
"1105","1483524038"
"1105","1483524038"
"1105","1483524038"
"1105","1483524038"
"38844","1483531309"
"38779","1483533291"
"38655","1483535226"
"38655","1483537322"
"1066","1483539831"
"1066","1483539939"
"1066","1483540025"
"1066","1483540064"
"1066","1483540110"
"1066","1483540193"
"1066","1483540394"
"1066","1483540534"
"38655","1483541092"
"38655","1483541144"
"739","1483542074"
"38725","1483543638"
"38725","1483543734"
"38725","1483543891"
"38725","1483543945"
"38725","1483543985"
"38725","1483544125"
"38725","1483544203"
"38725","1483544330"
"38725","1483544403"
"38725","1483544517"
"38725","1483544557"
"38655","1483544814"
"1063","1483545137"
"38730","1483545364"
"38725","1483545772"
"38725","1483546194"
"38714","1483546794"
"38510","1483547242"
"1063","1483547756"
"366","1483548665"
"38785","1483548885"
"38785","1483549266"
"38785","1483549923"
"38785","1483549937"
"38785","1483550020"
"38785","1483550092"
"38551","1483550135"
